districts,statecode,vaccinated1,vaccinated2,confirmed,recovered,deceased,tested,other
Jogulamba Gadwal,TG,23908,6281,0,0,0,0,0
Kamareddy,TG,14692,16918,0,0,0,0,0
Karimnagar,TG,12731,45384,0,0,0,0,0
Khammam,TG,41893,68994,0,0,0,0,0
Komaram Bheem,TG,17465,4048,0,0,0,0,0
Mahabubabad,TG,36700,27419,0,0,0,0,0
Mahabubnagar,TG,32811,19635,0,0,0,0,0
Mancherial,TG,22489,15600,0,0,0,0,0
Medak,TG,34422,25162,0,0,0,0,0
Medchal Malkajgiri,TG,54568,93893,0,0,0,0,0
Mulugu,TG,4190,10660,0,0,0,0,0
Nagarkurnool,TG,30265,5469,0,0,0,0,0
Nalgonda,TG,105864,33747,0,0,0,0,0
Narayanpet,TG,14266,3428,0,0,0,0,0
Nirmal,TG,16044,8396,0,0,0,0,0
Nizamabad,TG,67852,21328,0,0,0,0,0
Peddapalli,TG,18954,19908,0,0,0,0,0
Rajanna Sircilla,TG,7398,17056,0,0,0,0,0
Ranga Reddy,TG,76853,93482,0,0,0,0,0
Sangareddy,TG,77693,32539,0,0,0,0,0
Siddipet,TG,35164,25015,0,0,0,0,0
Suryapet,TG,38975,24793,0,0,0,0,0
Unknown,TG,0,0,1189,1121,9,0,0
Vikarabad,TG,20014,5848,0,0,0,0,0
Wanaparthy,TG,13905,10313,0,0,0,0,0
Warangal Rural,TG,25045,13208,0,0,0,0,0
Warangal Urban,TG,21854,63907,0,0,0,0,0
Yadadri Bhuvanagiri,TG,38752,28567,0,0,0,0,0
Airport Quarantine,TN,0,0,1,1,0,0,0
Ariyalur,TN,19203,29689,35,44,1,0,0
Chengalpattu,TN,26704,39438,627,706,5,0,0
Chennai,TN,52515,124932,880,1093,12,0,0
Coimbatore,TN,20971,79387,869,988,15,0,0
Cuddalore,TN,51773,101735,129,132,0,0,0
Dharmapuri,TN,13388,27153,110,161,1,0,0
Dindigul,TN,19630,57260,58,51,1,0,0
Erode,TN,16741,46724,477,573,4,0,0
Kallakurichi,TN,22603,52087,66,118,0,0,0
Kancheepuram,TN,13961,24360,225,259,2,0,0
Kanyakumari,TN,17732,51185,120,102,0,0,0
Karur,TN,5882,32339,136,90,1,0,0
Krishnagiri,TN,15883,37027,134,160,1,0,0
Madurai,TN,26340,42498,99,122,3,0,0
Mayiladuthurai,TN,0,0,41,80,0,0,0
Nagapattinam,TN,8662,23176,97,121,10,0,0
Namakkal,TN,12694,28265,315,397,2,0,0
Nilgiris,TN,1613,31952,124,220,3,0,0
Perambalur,TN,4307,17440,26,27,0,0,0
Pudukkottai,TN,10691,34202,75,68,2,0,0
Ramanathapuram,TN,9961,32447,25,55,0,0,0
Ranipet,TN,10793,13744,69,73,2,0,0
Salem,TN,25814,66134,427,442,3,0,0
Sivaganga,TN,10170,31816,82,78,0,0,0
Tenkasi,TN,16935,21454,25,14,0,0,0
Thanjavur,TN,49025,31228,310,428,6,0,0
Theni,TN,11199,33309,15,23,1,0,0
Thiruvallur,TN,25332,47695,252,396,3,0,0
Thiruvarur,TN,13453,29614,170,253,5,0,0
Thoothukkudi,TN,46323,22453,85,90,1,0,0
Tiruchirappalli,TN,32150,48874,302,334,5,0,0
Tirunelveli,TN,22582,19904,93,125,1,0,0
Tirupathur,TN,11111,24743,50,66,0,0,0
Tiruppur,TN,20414,50762,504,537,5,0,0
Tiruvannamalai,TN,31415,73235,120,158,0,0,0
Vellore,TN,18978,31716,117,139,1,0,0
Viluppuram,TN,53748,67153,79,83,1,0,0
Virudhunagar,TN,16628,50467,38,45,0,0,0
Dhalai,TR,264,11234,1,2,0,0,0
Gomati,TR,319,9611,8,3,0,0,0
Khowai,TR,373,5866,3,0,0,0,0
North Tripura,TR,352,4099,4,8,0,0,0
Sipahijala,TR,451,10397,8,4,0,0,0
South Tripura,TR,267,5639,4,1,0,0,0
Unokoti,TR,762,10307,4,3,0,0,0
West Tripura,TR,1366,17141,55,41,0,0,0
Agra,UP,23657,42953,0,2,0,0,0
Aligarh,UP,34650,57576,0,0,0,0,0
Ambedkar Nagar,UP,21528,32042,1,0,0,0,0
Amethi,UP,19777,37617,0,2,0,0,0
Amroha,UP,16080,23048,0,0,0,0,0
Auraiya,UP,6878,16443,0,0,0,0,0
Ayodhya,UP,26036,37279,0,1,0,0,0
Azamgarh,UP,41754,63205,2,0,0,0,0
Baghpat,UP,7829,24151,0,0,0,0,0
Bahraich,UP,54069,106010,0,0,0,0,0
Ballia,UP,29248,48334,0,0,0,0,0
Balrampur,UP,21033,56322,2,0,0,0,0
Banda,UP,38560,36938,1,0,0,0,0
Barabanki,UP,51121,59870,1,0,0,0,0
Bareilly,UP,68245,64148,1,1,0,0,0
Basti,UP,24797,39395,2,0,0,0,0
Bhadohi,UP,15479,20211,0,1,0,0,0
Bijnor,UP,27491,53680,0,0,0,0,0
Budaun,UP,53729,43678,0,0,0,0,0
Bulandshahr,UP,18195,42644,0,0,1,0,0
Chandauli,UP,19998,31247,0,1,0,0,0
Chitrakoot,UP,13007,16383,0,0,0,0,0
Deoria,UP,29495,67895,0,0,0,0,0
Etah,UP,16622,25756,0,0,0,0,0
Etawah,UP,52312,35349,0,0,0,0,0
Farrukhabad,UP,15703,28433,1,0,0,0,0
Fatehpur,UP,13675,42615,1,0,0,0,0
Firozabad,UP,66838,47728,0,0,0,0,0
Gautam Buddha Nagar,UP,22023,43162,6,13,0,0,0
Ghaziabad,UP,47837,71692,3,2,0,0,0
Ghazipur,UP,22615,43797,0,2,0,0,0
Gonda,UP,22042,51150,0,0,0,0,0
Gorakhpur,UP,33169,69539,1,4,0,0,0
Hamirpur,UP,11985,14350,0,0,0,0,0
Hapur,UP,15823,21964,0,2,0,0,0
Hardoi,UP,29546,66612,0,0,0,0,0
Hathras,UP,16507,25542,0,0,0,0,0
Jalaun,UP,14119,21614,3,0,0,0,0
Jaunpur,UP,41689,67101,0,2,0,0,0
Jhansi,UP,10719,25914,1,0,0,0,0
Kannauj,UP,24440,44639,0,0,0,0,0
Kanpur Dehat,UP,27985,38783,0,0,0,0,0
Kanpur Nagar,UP,64788,66517,3,1,0,0,0
Kasganj,UP,8148,13675,0,0,0,0,0
Kaushambi,UP,38263,28403,1,0,0,0,0
Kushinagar,UP,16785,46465,0,0,0,0,0
Lakhimpur Kheri,UP,46453,51586,1,0,0,0,0
Lalitpur,UP,8010,13539,1,0,0,0,0
Lucknow,UP,69404,107763,10,10,0,0,0
Maharajganj,UP,20643,36312,0,0,0,0,0
Mahoba,UP,4765,8960,0,0,0,0,0
Mainpuri,UP,31507,37443,0,0,0,0,0
Mathura,UP,10807,23027,1,1,0,0,0
Mau,UP,25202,32390,1,1,0,0,0
Meerut,UP,25100,57600,13,3,0,0,0
Mirzapur,UP,24968,41785,0,1,0,0,0
Moradabad,UP,52013,39070,0,1,0,0,0
Muzaffarnagar,UP,15476,38924,1,0,0,0,0
Pilibhit,UP,9611,17989,0,0,0,0,0
Pratapgarh,UP,40603,47832,0,0,0,0,0
Prayagraj,UP,75719,79660,1,6,0,0,0
Rae Bareli,UP,33906,46996,0,0,0,0,0
Rampur,UP,23526,28753,2,0,0,0,0
Saharanpur,UP,19216,33326,0,0,0,0,0
Sambhal,UP,27630,23914,0,0,0,0,0
Sant Kabir Nagar,UP,44511,26920,0,0,0,0,0
Shahjahanpur,UP,185421,79519,0,0,0,0,0
Shamli,UP,12602,16389,0,0,0,0,0
Shrawasti,UP,7342,17808,0,0,0,0,0
Siddharthnagar,UP,18746,53973,0,0,0,0,0
Sitapur,UP,33825,52112,0,0,0,0,0
Sonbhadra,UP,21438,24430,0,0,0,0,0
Sultanpur,UP,14962,31247,0,0,0,0,0
Unnao,UP,26506,41790,0,0,0,0,0
Varanasi,UP,38187,55104,2,1,0,0,0
Almora,UT,729,10440,7,7,0,0,2
Bageshwar,UT,371,6323,1,0,0,0,0
Chamoli,UT,822,11652,4,4,0,0,0
Champawat,UT,754,6007,3,0,0,0,5
Dehradun,UT,5963,49795,30,24,0,0,2
Haridwar,UT,3960,52191,10,8,1,0,1
Nainital,UT,2285,16850,10,14,0,0,0
Pauri Garhwal,UT,2116,14253,3,5,0,0,0
Pithoragarh,UT,930,10608,3,6,0,0,0
Rudraprayag,UT,416,6212,0,3,0,0,0
Tehri Garhwal,UT,2235,15658,0,0,0,0,0
Udham Singh Nagar,UT,3588,48283,0,3,0,0,0
Uttarkashi,UT,1063,9910,4,0,0,0,2
Alipurduar,WB,38488,29790,31,35,0,0,0
Bankura,WB,220390,76120,161,133,1,0,0
Birbhum,WB,99629,84919,176,102,0,0,0
Cooch Behar,WB,122592,26214,77,93,0,0,0
Dakshin Dinajpur,WB,53398,21657,111,108,1,0,0
Darjeeling,WB,21148,69087,189,214,1,0,0
Hooghly,WB,274722,105570,472,497,2,0,0
Howrah,WB,207351,95203,518,473,2,0,0
Jalpaiguri,WB,53967,63773,102,120,6,0,0
Jhargram,WB,39020,19553,25,39,0,0,0
Kalimpong,WB,513,10626,18,28,0,0,0
Kolkata,WB,36977,206020,1843,1553,25,0,0
Malda,WB,227391,55976,77,51,0,0,0
Murshidabad,WB,621102,86224,48,40,1,0,0
Nadia,WB,251739,89327,302,326,8,0,0
North 24 Parganas,WB,235852,241201,1066,961,27,0,0
Paschim Bardhaman,WB,94473,72103,213,149,1,0,0
Paschim Medinipur,WB,270458,66132,181,198,1,0,0
Purba Bardhaman,WB,260764,51741,147,176,2,0,0
Purba Medinipur,WB,71724,144185,94,120,1,0,0
Purulia,WB,159111,40922,17,21,0,0,0
South 24 Parganas,WB,310444,169231,542,470,5,0,0
Uttar Dinajpur,WB,130243,44686,43,46,2,0,0
