districts,statecode,vaccinated1,vaccinated2,confirmed,recovered,deceased,tested,other
Gandhinagar,GJ,5475,36333,0,0,0,0,0
Gir Somnath,GJ,8524,15341,2,2,0,0,0
Jamnagar,GJ,9406,37158,5,3,0,0,0
Junagadh,GJ,2660,71531,6,2,0,0,0
Kheda,GJ,11668,73838,0,1,0,0,0
Kutch,GJ,8920,49662,5,1,0,0,0
Mahisagar,GJ,62,16517,0,0,0,0,0
Mehsana,GJ,7523,48550,0,1,0,0,0
Morbi,GJ,9950,20297,0,0,0,0,0
Narmada,GJ,546,13890,0,2,0,0,0
Navsari,GJ,1852,29095,5,13,0,0,0
Panchmahal,GJ,7294,44832,0,0,0,0,0
Patan,GJ,3369,37745,0,0,0,0,0
Porbandar,GJ,1140,13063,0,0,0,0,0
Rajkot,GJ,17510,53546,7,7,0,0,0
Sabarkantha,GJ,4232,45789,1,0,0,0,0
Surat,GJ,35083,115694,38,30,1,0,0
Surendranagar,GJ,18641,79795,0,0,0,0,0
Tapi,GJ,3010,23409,0,0,0,0,0
Vadodara,GJ,16527,182027,36,14,0,0,0
Valsad,GJ,6616,36430,25,25,1,0,0
Bilaspur,HP,695,15071,133,77,0,0,0
Chamba,HP,1439,18796,27,13,0,0,0
Hamirpur,HP,713,26076,288,228,4,0,0
Kangra,HP,2399,39940,657,454,10,0,0
Kinnaur,HP,95,517,2,6,0,0,0
Kullu,HP,889,9323,19,18,0,0,-1
Lahaul and Spiti,HP,30,412,0,0,0,0,0
Mandi,HP,1156,26214,140,141,3,0,0
Shimla,HP,2224,37351,100,66,3,0,0
Sirmaur,HP,1388,22247,1,0,0,0,0
Solan,HP,1393,21242,25,27,0,0,0
Una,HP,824,16782,145,124,0,0,0
Ambala,HR,3021,25458,2,1,0,0,0
Bhiwani,HR,6166,25664,0,0,0,0,0
Charkhi Dadri,HR,941,11884,0,2,0,0,0
Faridabad,HR,17515,30156,18,7,0,0,0
Fatehabad,HR,1800,7458,0,0,0,0,0
Gurugram,HR,20221,48107,55,48,0,0,0
Hisar,HR,5821,12364,2,0,0,0,0
Jhajjar,HR,8229,19599,1,0,0,0,0
Jind,HR,13366,21662,1,0,0,0,0
Kaithal,HR,4183,11836,0,2,0,0,0
Karnal,HR,8109,23328,1,0,0,0,0
Kurukshetra,HR,4064,9522,1,1,0,0,0
Mahendragarh,HR,4857,10632,0,0,0,0,0
Nuh,HR,10812,3789,0,0,0,0,0
Palwal,HR,7558,9496,0,0,0,0,0
Panchkula,HR,1786,10743,10,12,0,0,0
Panipat,HR,7950,12888,1,0,0,0,0
Rewari,HR,2550,9877,0,4,0,0,0
Rohtak,HR,11409,17219,0,1,0,0,0
Sirsa,HR,4263,8228,3,2,0,0,0
Sonipat,HR,9421,21065,0,1,0,0,0
Yamunanagar,HR,6471,16554,0,6,0,0,0
Bokaro,JH,27554,34375,15,13,0,0,0
Chatra,JH,5946,11402,0,0,0,0,0
Deoghar,JH,9801,19008,2,1,0,0,0
Dhanbad,JH,33374,34095,24,13,0,0,0
Dumka,JH,12679,22872,2,2,0,0,0
East Singhbhum,JH,11994,29238,47,42,2,0,0
Garhwa,JH,17210,15386,6,7,0,0,0
Giridih,JH,16994,29823,0,0,0,0,0
Godda,JH,7385,16537,1,1,0,0,0
Gumla,JH,4900,8696,5,0,0,0,0
Hazaribagh,JH,11940,21857,3,3,0,0,0
Jamtara,JH,9614,12331,4,3,1,0,0
Khunti,JH,3335,3834,0,0,0,0,0
Koderma,JH,3393,11488,0,0,0,0,0
Latehar,JH,9565,7719,0,0,0,0,0
Lohardaga,JH,3444,3563,0,2,0,0,0
Pakur,JH,9945,9107,0,0,0,0,0
Palamu,JH,21657,37375,0,0,0,0,0
Ramgarh,JH,5306,10927,7,0,0,0,0
Ranchi,JH,35099,38856,182,228,0,0,0
Sahibganj,JH,10449,13687,0,0,0,0,0
Saraikela-Kharsawan,JH,11215,12399,0,0,0,0,0
Simdega,JH,1694,4126,0,0,0,0,0
Unknown,JH,0,0,-166,-70,0,0,0
West Singhbhum,JH,12587,16980,5,5,0,0,0
Anantnag,JK,1472,30949,10,12,0,0,0
Bandipora,JK,349,6835,13,19,0,0,0
Baramulla,JK,1665,29357,96,64,0,0,0
Budgam,JK,1409,22456,63,53,0,0,0
Doda,JK,1065,19212,18,26,0,0,0
Ganderbal,JK,370,9271,31,12,0,0,0
Jammu,JK,4121,16781,20,37,0,0,0
Kathua,JK,1867,22270,0,5,1,0,0
Kishtwar,JK,3948,3385,1,0,0,0,0
Kulgam,JK,632,20244,2,5,0,0,0
Kupwara,JK,3959,42820,25,25,0,0,0
Pulwama,JK,1021,16829,5,5,0,0,0
Punch,JK,695,27765,7,14,0,0,0
Rajouri,JK,1247,9544,4,7,0,0,0
Ramban,JK,1498,10369,3,0,0,0,0
Reasi,JK,1644,15636,4,10,0,0,0
Samba,JK,1207,6224,0,2,0,0,0
Shopiyan,JK,139,7669,0,0,0,0,0
Srinagar,JK,2788,80075,305,274,2,0,0
Udhampur,JK,2420,14763,4,2,0,0,0
Bagalkote,KA,57683,22844,0,0,0,0,0
Ballari,KA,54006,84805,9,14,0,0,0
Belagavi,KA,39701,98350,20,21,1,0,0
Bengaluru Rural,KA,5196,22700,23,27,2,0,0
Bengaluru Urban,KA,48836,247281,1165,1093,37,0,0
Bidar,KA,13739,30558,0,5,0,0,0
Chamarajanagara,KA,2102,36658,6,15,0,0,0
Chikkaballapura,KA,4700,19860,11,8,3,0,0
Chikkamagaluru,KA,4830,13010,28,93,0,0,0
